Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
Germany,DEU,1750,,,,,,,,
Germany,DEU,1751,,,,,,,,
Germany,DEU,1752,,,,,,,,
Germany,DEU,1753,,,,,,,,
Germany,DEU,1754,,,,,,,,
Germany,DEU,1755,,,,,,,,
Germany,DEU,1756,,,,,,,,
Germany,DEU,1757,,,,,,,,
Germany,DEU,1758,,,,,,,,
Germany,DEU,1759,,,,,,,,
Germany,DEU,1760,,,,,,,,
Germany,DEU,1761,,,,,,,,
Germany,DEU,1762,,,,,,,,
Germany,DEU,1763,,,,,,,,
Germany,DEU,1764,,,,,,,,
Germany,DEU,1765,,,,,,,,
Germany,DEU,1766,,,,,,,,
Germany,DEU,1767,,,,,,,,
Germany,DEU,1768,,,,,,,,
Germany,DEU,1769,,,,,,,,
Germany,DEU,1770,,,,,,,,
Germany,DEU,1771,,,,,,,,
Germany,DEU,1772,,,,,,,,
Germany,DEU,1773,,,,,,,,
Germany,DEU,1774,,,,,,,,
Germany,DEU,1775,,,,,,,,
Germany,DEU,1776,,,,,,,,
Germany,DEU,1777,,,,,,,,
Germany,DEU,1778,,,,,,,,
Germany,DEU,1779,,,,,,,,
Germany,DEU,1780,,,,,,,,
Germany,DEU,1781,,,,,,,,
Germany,DEU,1782,,,,,,,,
Germany,DEU,1783,,,,,,,,
Germany,DEU,1784,,,,,,,,
Germany,DEU,1785,,,,,,,,
Germany,DEU,1786,,,,,,,,
Germany,DEU,1787,,,,,,,,
Germany,DEU,1788,,,,,,,,
Germany,DEU,1789,,,,,,,,
Germany,DEU,1790,,,,,,,,
Germany,DEU,1791,,,,,,,,
Germany,DEU,1792,0.468992,0.468992,0,0,0,0,,
Germany,DEU,1793,0.479984,0.479984,0,0,0,0,,
Germany,DEU,1794,0.443344,0.443344,0,0,0,0,,
Germany,DEU,1795,0.447008,0.447008,0,0,0,0,,
Germany,DEU,1796,0.534944,0.534944,0,0,0,0,,
Germany,DEU,1797,0.5496,0.5496,0,0,0,0,,
Germany,DEU,1798,0.575248,0.575248,0,0,0,0,,
Germany,DEU,1799,0.626544,0.626544,0,0,0,0,,
Germany,DEU,1800,0.795088,0.795088,0,0,0,0,,
Germany,DEU,1801,0.534944,0.534944,0,0,0,0,,
Germany,DEU,1802,0.553264,0.553264,0,0,0,0,,
Germany,DEU,1803,0.534944,0.534944,0,0,0,0,,
Germany,DEU,1804,1.0076,1.0076,0,0,0,0,,
Germany,DEU,1805,1.040576,1.040576,0,0,0,0,,
Germany,DEU,1806,0.937984,0.937984,0,0,0,0,,
Germany,DEU,1807,2.689376,2.689376,0,0,0,0,,
Germany,DEU,1808,0.89768,0.89768,0,0,0,0,,
Germany,DEU,1809,0.930656,0.930656,0,0,0,0,,
Germany,DEU,1810,0.978288,0.978288,0,0,0,0,,
Germany,DEU,1811,0.926992,0.926992,0,0,0,0,,
Germany,DEU,1812,0.912336,0.912336,0,0,0,0,,
Germany,DEU,1813,0.890352,0.890352,0,0,0,0,,
Germany,DEU,1814,0.883024,0.883024,0,0,0,0,,
Germany,DEU,1815,1.029584,1.029584,0,0,0,0,,
Germany,DEU,1816,2.385264,2.385264,0,0,0,0,,
Germany,DEU,1817,3.381872,3.381872,0,0,0,0,,
Germany,DEU,1818,3.532096,3.532096,0,0,0,0,,
Germany,DEU,1819,3.275616,3.275616,0,0,0,0,,
